识别领域 语音识别领域
互联网界 中国互联网界
方向 可问责性
定量 图像相似性定量测度
学生学习 学生学习计算机架构
参数 参数寄存器
物品拍卖 多物品拍卖机制
加密 反映加密
相差 实际应用相差
多媒体 多媒体传感器网络层次结构
自适应控制自适应控制器负责监控系统状态 系统状态
自动化 大规模自动化知识获取
软件开发方法 可信软件开发方法
算法 时间管理算法
调制器 液晶调制器
微博 微博博主
时空 时空关系信息
捕获 捕获隐藏
场合感应框架 场合感应
价值链 价值链条
智能移动设备数据 数据
开发者 开发者编写
德国 德国图
武器 武器装备系统
缓存 智能缓存
车辆 驾驶车辆
工程 工程方法论
模型 企业开源模型
社会 社会事务处理能力
存储市场 云存储市场
数据库 人口数据库
方向 互联网体系结构应用适应性
互联网 互联网结构
方向 分析性
表 表示图像
小语种自然语言处理 自然语言处理
索引数据 持久化索引数据结构索引
通信 连续变量量子通信
个性化定制服务 定制服务
加速完善数据 数据
信息融合 多种类信息融合
应用示范 应用示范课题
教育 课程教学方法
数据集 数据集属性
对称密码 对称密码算法
信息 路网地理空间信息融合
信息 脉冲信息高效实时传输
方向 满足性
交互式搜索意图理解 交互式
算机 计算机辅助进化设计
缓存 数据包缓存
农业 保护农业资源
教育 教育部计算机
固态存储介质 闪存固态存储介质
时间 指数时间
数据内在质量 数据
统计情绪词频 统计
遥感多光谱推扫式光谱成像技术 成像技术
量子 量子最弱前置条件语义的
缓存 缓存组织
英特尔微处理器 英特尔微处理器实验室
材料 材料体系
无法访问 参赛者无法访问
数据消费者 称号
网络 硬件网络
算机 计算机输入
通信 构建即时通信系统
标准 标准草案
短程 联短程染色
方向 原创性
跨域硬件 跨域
学科 气候学
运算 模拟运算
元素 品行元素
网络表征学习算法 网络表征学习算法机制
能力小组 能力
有向图 异质有向图
覆盖面 选题覆盖面
软件定义网络管控域 软件定义网络管控域间互联
非负值 负值
计算部件 向量计算部件
制度 资格认证制度
新空间 技术创新空间
称号 软件提供者
模块 模块工程化
处理 处理半结构化
学科 学学
修复流程 流程
测试 软件分析测试
检测 检测处理
业务 业务异常
处理器 高性能处理器
虚拟快照 分层虚拟快照
存储型隐藏算法 隐藏算法
路由交换范式构建安全可信网络 构建安全可信网络
性化 个性化方向
能量 能量采集模块
方向 影响流畅性
表 文献表明
设备映射框架 框架
互联网 互联网初始设计
示意图 框架示意图
函数 预测函数
物品 物品集合
处理 海量信息处理
自然语言处理新时代 自然语言处理
自动驾驶系统 理解自动驾驶系统
服务关系 服务关系模型
流水线 图形处理流水线
设计师 计算机体系结构设计师才会
证明协议 完整性证明协议
学科 法经济学
计算机创新 计算机创新趋势
函数 注册调用注册函数
科研成果转化 科研成果转化过程
扩展 方向扩展
细节 系统实现细节
发生变化 曲线发生变化
名词 汉语名词
查询语言 数据查询语言
总量 城市车辆总量
信息提取 生物信息提取
时空数据查询 时空数据查询领域
计算分析能力 能力
媒体 媒体对式资源平台
加速 加速大规模训练
预处理 掌纹预处理算法
密码学 密码学原语
角度 监管者角度
动态 动态时变网络
新闻 新闻简报应运而生
数据编排机制 数据
知识图谱 一语道破知识图谱
标注 标注英文文本
语义类抽取流程 语义类抽取
数据 表示数据汇聚
诊断故障 诊断
数据交易相关研究 数据
形态 开放形态
网关 网关信息
处理器芯片 处理器芯片出货量
用户 用户行为偏差
数据 标记数据
发明 突破性发明
方向 行程时间可靠性
计算 计算协同
数据视图 文件数据视图
资源调度 资源调度管理
数据转发模式 数据
资源 虚拟计算资源
字符串 捕捉字符串
算机 低成本计算机
国际性标准评测类型 标准
时移 实时移动数据流
图谱 社交图谱
企业信息化 中国地级市企业信息化服务
开源 开源协议
文章 格式化文章
手语语言 手势符号演化成手语语言
研究生 研究生写文章
控制器 控制器负责记录路由
现代服务 现代服务业产业链
类型 偏见类型
产业生态圈 生态圈
数据计算 数据
拟化 内存虚拟化
字符串 字符串表示
对等计算应用层组播结构 应用层组播结构
状态 状态记忆
系统运行状态 抽象表示系统运行状态
图形 图形处理器网格融合
算法 重要性算法
城市应用 智能城市应用
科学计算 科学计算领域
信息化建设 电子政务信息化建设
权利 权利限定
安全 安全度量
处理多模态信息 模态信息
英国 英国哲学家弗朗西斯
并行计算系统 计算系统
数据商品特性 数据
云通信 端云通信
能力 产品开发能力
三维 三维声场
修改 修改章程
三角形 三角形网络
描述语言 XML模式描述语言
软硬件环境 软硬件环境差异
评测标准 标准
方向 规则化
形式 调查形式
原理 克隆原理
数据 数据保护区
资源预留 静态资源预留
信号 无线射频信号
应用语义 生物医学网络分析领域应用语义万维网
知识库 知识库驱动设计工程
视觉搜索 视觉搜索系统
差异思维 思维
信息科学 信息科学领域青年
用户 用户自动
互联网 分组交换互联网协议
服务器集群节能技术 集群
会议 学术会议平台
网络表示学习 大规模网络表示学习
网格 网格智能平台
光谱成像原理 高光谱成像原理
理论方法 创新性理论方法
电子 移动电子
深度神经网络 加速深度神经网络
无线传感器网络 低功率无线传感器网络设备
异质图神经网络 图神经网络
公司 翻译公司
科研 高效科研
基础科研工作 科研工作
解密 信息解密
路由 路由选择优化机制
波函数 轨道波函数
机构组织 分布式数据中心
大规模分布 超大规模分布式虚拟现实综合集成支撑平台
云计算 云计算虚拟化
互连 可穿戴设备互连
微分 偏微分方程求解器
客户端 虚拟客户端
通用 通用许可证
推荐 重复推荐
解决问题 充分解决问题
组织 组织数据集
重视安卓系统 安卓
大学 中国科学技术大学计算机学院
对等网络对象空间 对等网
公司 网络公司破产时
资源空间 资源空间搜索
协议 网格协议
量子马尔可夫 量子马尔可夫链
机构 中国机构
对抗样本输入 对抗样本
调整 调整系统
时空数据索引 时空数据索引结构
特征空间 特征空间学习
导航 无线定位与导航
数据流 GPS数据流
移动视觉搜索 移动视觉搜索应用
组网技术 移动自组网组网技术
开销 软件开销
空间信息网络 空间信息网络传输能力
心脏解剖结构 三维心脏解剖结构模型
性化 个性化方向
艺术 艺术类方向
准确 工作进度准确
在线开放协作项目系统 在线开放协作项目
通信 远程通信服务
万维网数据库 万维网数据库系统
谈话时延 谈话时延调高
心理物理学领域 视觉心理物理学领域
编码 多视点视频编码
模型 软件设计模型
原理 连续性原理
相邻 相邻演化设计
参量 参量自动监测
网络 网络检索
数据中继试验 数据
证明 托马斯证明
情境感知服务 情境感知服务系统
编码 编码和解码
场景 环境场景
物品 物品详细信息
度量 熵度量
道路车辆 道路车辆信息
云服务 云服务器
矩阵 特征矩阵按行排序
云仿真系统 云仿真系统搭建
语音 语音理解
情感识别 情感识别框架
信息服务 信息服务操作
求解器 线性方程组求解器反复注册
剪枝 模式剪枝
国家 中国国家网格环境
控制机 电子系统控制机械系统
数据 订制数据
算机 计算机应用系统
系统软件 系统软件联合设计
授权 架构授权
研究生 研究生学习
加速 临界点加速
数值预报 暴雨数值预报
图像 高光谱图像分辨率增强
集合 序列集合
动态 动态安装
云 互联网云
构建 构建阳光
处理机 多处理机硬件架构
存储知识 存储知识图谱
服务质量度量 度量
算法容错方法 算法容错
应用计算机学科 计算机学科
汉语语言信息处理技术 汉语语言信息处理
指标 应用指标
工程 领域知识工程
网络化 网络化制造
网络感知 移动社交网络感知计算
数据 稀疏训练数据
算机 通用电子计算机
启动 平台启动
对话 修复对话
过滤 包过滤
成员 成员老中青
可穿戴计算系统 可穿戴计算系统体系结构
I体系结构 I体系结构分析
数据库系统 联邦数据库系统
图结构数据 图结构数据算法
时间 顺序时间
通信模 互连通信模式
字体 艺术字体
残疾人信息无障碍 听力障碍残疾人信息无障碍
蠕虫 深刻理解蠕虫
构建 硬件构建语言
表 研究报告表明
操作系统 主核操作系统
表征学习 网络结构表征学习
电视 电视应用
美学研究 人脸美学研究
充分挖掘 充分挖掘集群
网络新能力 能力
方向 普及化
算机 计算机设计报告
数据 数据黑市
语义 多模语义感知
过程模型 订单生产过程模型
方向 可分辨性
电影票房 电影
环境 标准环境
垃圾信息制造者 称号
终端 分布式终端云
资源分配 资源分配列表
动力 科研动力
功能模块 功能模块分布结构
真实环境精确对准 精确对准
实时引力波数据处理 数据
分子生物学实验数据 数据
适应性系统基础设施 基础设施
自组织 自组织科技团体
城市热点区域 城市热点区域信息
编程 资源可编程体系结构
网络基础 信息网络基础理论研究成果
用户查询意图 用户查询
保护能力 安全保护能力
图像融合 遥感图像融合
阿贡小组证明方程 阿贡小组
负责 输入管理器负责
数据 有效限制数据
方向 组织灵活性
方向 客观化
学科 人文学科
数据包 分析数据包
场景 场景体验
进程 移动进程
增强现实技术 增强现实技术有效
物理 物理存储机制资源空间
算法 局域网算法
学科 人类学
关系演算 元组关系演算联系
数据索引 空间数据索引
教育 重视培养人才
人工智能 人工智能解析器
交流会 研讨交流会
数据科学 数据科学内涵
联网领域 智联网领域
体系结构 体系结构透明化
类脑计算加速器设计 类脑计算加速器
营销 国际营销风控
模型 设计模型结构
群体智能 群体智能应用场景
委员会 组织委员会
车辆 车辆高速移动
能够实现量子计算机原型机 能够实现量子计算
键盘 静态键盘
人类社会成员 社会成员
短程 短程记忆过程
谓词转换器语义 语义
电子邮件 影响电子邮件
产业 信息产业市场
集成化 集成化方向
视频透视 视频透视式头盔显示器
访问模式 协调访问模式
协作流程 流程
病毒 跟踪病毒
型聚类算法 连通型聚类算法
形式思维 形式
表示学习 语言表示学习
认知神经网络 观察认知神经网络
学科 自然科学
万维网 万维网通信模式
网民 美国网民
性化 个性化语音模拟
反馈 客户反馈
用户行为统计模型 信息语义的用户行为统计模型
计算机系统 非易失性内存构建低延迟可伸缩计算机系统
脑机融合混合智能原型系统 脑机融合
节约 节约资金
多通道输入 多通道输入多模态输出
用户 用户异步
基因 基因检测工业云平台
算机 新加坡国立大学计算机学院
行为 输入行为
称号 长江学者
海量多媒体数据库 海量多媒体数据
系统实验室 集成系统实验室
方向 类型化
资源 软件体系结构资源反射
协同 互联协同
加速器 神经网络加速器开发框架
语言 型语言
用户 推理用户
自动机器学习 自动机器学习平台研发
模仿 模仿医生
大数据科研工作者 称号
网络实验平台构建 网络
预测医院住院病人流 流
重构 重构犯罪事件
引导群智协同成员 群智协同
关系 价值交换关系
网格构建 网格构建管理
算法 索引管理算法
网络虚拟化环境 网络虚拟化
电阻 电阻值控制
片上网络 一致性协议特性优化片上网络
三维图形 三维图形监测
应用开发者 称号
人类作者 称号
物理 物理图
客户创造价值 目标客户创造价值
区块链 区块链机制
模型 模型参照
触觉显示器 显示器
模型 DNN模型精度
数据密集型 数据密集型计算系统
资源 资源效能
感知对象 感知对象信息构建
云计算数据管理平台 云计算
抽取 抽取样本
过程性评价 过程性评价重视动态
智能测试 智能测试任务
多处理器 共享内存多处理器
轻量级 轻量级管理域
分辨率 分辨率捕捉对象
计算检测线 检测线
模拟运算 运算
媒体对象 底层特征表示媒体对象
机器翻译模型 神经机器翻译模型
机器人 聊天机器人
学习效率影响 学习效率影响模型
媒体 媒体深度合作
可信 可信移动设备
竞赛 数据竞赛
电视 模拟电视
表 人脸表情识别系统
风险 分析风险
安全多方计算 通用安全多方计算理论框架
调整政府投资战略 调整
碱基配对原理 碱基配对
控制 可信控制
钟控 钟控生成器
指标 构建疫情评估指标
大数据客体 大数据
核心技术 核心技术领域
安全 安全能力分析
引导老年人 称号
管理系统 事务性管理系统
体系 涌现出体系
数据 数据域
快照语义 语义
图结构数据 图结构数据处理应用
学科 物理系统科学
体感 体感反馈
移动应用 移动应用取证
查询 关键词查询
生成 生成构件
数据向量 数据
教育 课程教学理念
深度神经网络 深度神经网络可解释性定义
性能分析 性能分析预测模型
可扩展 可扩展高效
盲文 盲文识别
数据挖掘 数据挖掘过程
用户社群 社群
高效 高效管控
测量 光线光谱测量
计算系统 大数据计算系统资源规模化
云 异构云架构
数据 多维度健康数据
数据图 数据
计算密集型应用程序 应用程序
机器学习 机器学习自动
限制 扩展性限制
序列 指令序列
基础 理论体系基础
命令 输入命令
结构数据挖掘 结构数据挖掘研究问题
社群智能 社群智能应用程序
称号 AI芯片创业者
数据 数据充足
城市计算数据管理层 数据管理
联邦 联邦数据库
机构 医疗保健机构
过度 过度供应
软件运行环境 迁移个性化软件运行环境
硬件生成 硬件生成质量
基础设施 基础设施即服务管理系统
市场渠道 渠道
科学家 科学家阿努普
社会网 式社会网
查询 并不知道连续查询
基础设施 提供者基础设施
汉盲双向翻译 双向
文件系统 存储设备文件系统
脊线 脊线增强
能力限制 能力
移动对象位置表示模型 位置表示模型
信息安全 信息安全领域
应用 应用保护
开销 学习开销
学科 电子科学与技术学科
数据 数据变换生成
网站 网站编辑
排名 排名实验
线程 在线程序问答系统
大鼠机器人 感知大鼠机器人
维数 多维数据关联分析
公司 公司产品管理副总裁
市场 区域性市场
分析技术 系统调用分析技术
低功耗 低功耗嵌入式技术
处理器 图形处理器计算
元素 接口类型元素
流水线 引力波数据处理流水线
算法 双向搜索算法
质量 静态质量
数据库 数据库共收录
总线 数据总线广泛应用
设备映射框架 设备
地图 道路地图
查询词 查询词时
化机制 服务化机制
算机 计算机辅助历史研究
通信 中国通信市场
定位技术 跟踪定位技术
数据 融合多模态数据
基金 基金会
研究所 西安电子科技大学计算理论与技术研究所博士研究生
键盘导航 测试键盘导航
算法 量子签名算法
图像 图像情感分析
编程 编程工作量
模型 角色元模型
编程网络 编程网络架构
资格 理事长资格
方向 可学习性
数据结构 争用数据结构
论文 论文库
可视化技术 基础可视化技术
体系结构 混合智能三层体系结构
张量 指出张量定义
关系 社交关系隐私保护
路线 科研路线
反映 反映企业
网络 构建网络诚信体系
开源 运作开源软件
语义 图像情感语义
线性 线性变换
限定类脑计算 类脑计算
网页 网页特征
生活 心灵生活
架构协同 架构协同设计
成本 网络传输成本
知识表示和推理 时间和空间知识表示和推理
处理交互对象实体 对象实体
汉字 汉字激光照排
智能网络运维系统 网络运维系统
资源虚拟化 硬件资源虚拟化
情境感知电子学习软件基础平台 基础平台
云端 云端资源提供
模式挖掘 查询词模式挖掘
集群 虚拟机集群系统安全
教育 增强计算思维能力培养
学习人脸 监督信号学习人脸特征
数据库 语义数据库
数据中心能效 数据
称号 智能安全研究院负责人
加速器 深度学习加速器
表 受控词汇表
空间信息网络资源动态调度 资源动态调度
故障注入器 故障注入器是
华东师范大学 华东师范大学数据学院
美国工程和技术认证委员会 志愿者参与美国工程和技术认证委员会
进程 调度进程
度数 三轴加速度数据
数据 开放数据关联
院长 信息研究院院长
抽取 抽取基站轨迹
黑盒 黑盒计算
敏捷 敏捷开放硬件
计算机企业 高性能计算机企业
控制机 信息控制机
高层语义信息 重视高层语义信息
软件 软件范型
众包 数据众包平台
毫米 毫米波骨干传输网
图像传感器 图像传感器密度
发展趋势 长期发展趋势
制造业信息化工程 制造业信息化
慧眼识压 慧眼识
数据 医学巨量数据
基础设施 基础设施模块定义
异构信息网 异构信息网络
轻量级 轻量级云平台
表 结构化分布式散列表
加速器 类脑加速器
中国软件 中国软件工程
表 黑产要表达
媒体 面向社会媒体
硬件 硬件标准化
学习 大规模多元化移动学习
方向 服务扩展性
中国 复制到中国数万
图形处理器网格融合 图形
学报 计算机学报
设备交互 移动设备交互技术
数据 互联网海量图像数据
流媒体 流媒体编码
开发平台 云计算开发平台
数学领域 高难度
国防科技大学 国防科技大学计算机
物品 物品拍卖
群智计算 群智计算基本框架
光源 光源恢复
迁移网络 领域对抗迁移网络
图搜索 图搜索算法
构件 人类构件
基础 基础支撑结构
自动化设计 自动化设计输入
方向 本质特性
网络关系结构 社会网络关系结构
线程 多线程微处理器编译技术
知识库 图像知识库
学科 维持并行算法学科
资源 科技资源
数据 离线批处理式数据处理
参数 生成参数
电话机 电话机旁
息化 信息化模式
量化 DNN模型量化
网络 网络异构
合成语音 合成语音质量
信息 硬件信息
联合 联合企业项目
方向 全数字确定性
分析理解 分析理解移动物体
内存 内存访问
算法 视觉跟踪算法
电路 计算机电路测试领域
中国 中国及周边地区用户
图像 用户图像信息
函数 脚本函数
设备 扫描设备
指针 指针跟踪加速器
计算方法 注意力机制计算方法
无源感知网络基础理论 无源感知网络
带宽 网络带宽
模型 计算理论与模型
算机 计算机破译数据加密标准
量子密码实验研究 码实验
芬兰科学计算中心 科学计算中心
大数据图计算 数据图
测量 可信测量
计算机图形 计算机图形学算法
素材 大规模非结构化素材
计算上下文 普适计算上下文感知
大数据重复数据删除 大数据重复数据删除技术
安全运营 网络安全运营
引导 引导青少年
服务调度优化提供数据 数据
模型聚类 多模型聚类
处理系统 事件处理系统整合
评审 评审时间
数据产业 影响数据产业
物联网 物联网领域
行数 平行数据
移动社交网 移动社交网络数据
操作 基本操作抽象
卫生 美国卫生
促成 基本技术促成
结果评价 多尺度地图综合结果评价服务
协议 量子身份认证协议
人体姿态 3D人体姿态检测
梯度 梯度幅值
云计算 云计算解决方案
通路 大规模可重构数据通路
粒度虚拟化模型 粒度虚拟化
系统数据 捕捉文件系统数据
线程映射 线程
程序 重视程序
计算机教育工作者 称号
即时通讯市场竞争 中国即时通讯市场竞争
纳米 计算纳米技术
应用程序 应用程序隔离
结构表示 数据结构表示
实验室 人机交互实验室
跨云计算迁移 跨云计算迁移开销
系统结构 电子系统结构
安全 安全锁屏
信息可信度 信息可信度算法
文物知识图谱数据交换接口平台 数据交换接口平台
数据生命周期 数据生命周期信息学流程
数据库 编写数据库结构
片段存储 片段存储系统
防护 防护物资
云 云物联网
大规模仿真应用 大规模仿真应用领域
研究生 研究生入学考试
专用智能计算机系统 智能计算机系统
应用环境 应用环境特征
集中式访问控制 非集中式访问控制
航行 水下航行器仿真
多核 同构多核结构
竞赛 网络安全竞赛
协同计算 多核协同计算
算机 计算机研究生
轻量 轻量级
线性 线性弹性模型
安全 开发环境安全管理
行数 平行数据
媒体 机器理解媒体表达
多端网络拓扑关系模型 多端网络
联合 联合攻击行为
能力 反射能力
频率 频率信号注入
图形 图形终端技术基础
图结构 星云图结构演化文网络
制造 精密仪器制造
处理 队列处理
安全防护 安全防护能力
方向 便携性
用户购物车 购物
学科 美国计算机科学
软件服务 软件服务组合
存储系统 存储系统冗余数据
系统设计 系统设计师
学科 文体学
教育 同步异步混合式教学模式
资源 云计算资源
计算产业 计算产业进入
网络自配置能力 自配置能力
公布 会员公布
新技术 新技术新方向
自然语言处理系统 自然语言处理
活性检测 活性检测望远镜
算法搜索 社会算法搜索
称号 显示提供者
图数据管理 图数据管理研究现状
安全 操作系统安全可靠
交易记录数据 记录数据
数据 程序数据
算法 防污算法
流水线 分析流水线
图像本征分解 传统图像本征分解
性化数据 个性化数据
蠕虫 蠕虫泛滥成灾
视野 视野测量
改善 硬件条件改善
特性 特性制约
模型 深层模型
安全 公共设施安全
终端应用构件模型 应用构件
大数据 大数据专家委员会
角色 角色信息
样本量 学习样本量
科学技术 科学技术模拟虚拟
线程优化重点 线程
特征比较有效 共振峰频率特征比较有效
大学 东北大学信息科学
人类 人类专家知识
生物 生物神经网络
数据 基因数据平台
中文 中文用户行为
数据集 中文阅读理解数据集
边缘 边缘基础结构
函数拟合 函数拟合能力
意图感知能力 能力
软件运行 软件运行监管
社会行为机制启发 启发
表 表行扩展
数据 源数据
隔离 机制隔离
公共安全领域 集成公共安全领域
市场 类型市场
万维网站点 万维网站点定义
表 输入文本表示
视觉 预测视觉功能
计算领域 分布式计算领域
管理领域 业务过程管理领域
职业 职业特权
流程 流程工厂设计软件
数据 虚拟机存储数据安全
中国科学院计算技术研究所博士 中国科学院计算技术研究所博士研究生
称号 在线课程开发者
吞吐量 影响网络层吞吐量
信息技术 信息技术硬件
服务全生命周期 业务服务全生命周期
信息应用服务 退耕还林工程信息应用服务
通信 后向散射通信系统
物群 生物群智
价值发现 服务价值发现
互联网 互联网崩溃
向量 向量移入
技术领域 网络关联技术领域
重复 重复统计调查
评测 评测比较复杂
大数据安全 大数据安全和隐私
厂商 厂商开发软件
区块链技术 影响区块链技术架构
资源 资源预留
智能手机 智能手机重复感知
大数据计算 分布式大数据计算引擎
修改程序代码 修改程序
虚拟环境交互式体验系统 虚拟环境交互
能够实现 机器能够实现
体系架构 计算机体系架构
亲自 帕特森亲自
系统领域 分布式系统领域
特性 指令集特性
邮件 邮件采访
情感 情感联络
深水钻井隔水管动力性能 动力性能
多层神经网络 多层神经网络有效表征训练数据
发展趋势 产业发展趋势
学科 金融学
领域 战争领域
冗余 存储系统冗余数据
自治化 自治化属性
自治 自治功能架构
数据显示 数据
城市构建 智能城市构建
姿态 姿态位置估计
智能客服系统 多语言多模态智能客服系统
机械 电子系统控制机械系统
统计 融合统计
增强现实场景构建 增强现实场景
开放式互联架构 架构
方向 特征重要性
会员资格 会员资格审查委员会
诊断 分析诊断
大数据 大数据产学研用
方向 领域标志性
扫描 扫描输入结构
计量 计量计价
渗透到 渗透到政治
物理机 物理机数量
拓展 无人驾驶拓展
语义 视觉语义理解
数据中心网络 高性能数据中心网络
多维 多维动态交互环境
结构处理 结构处理实例
资料类型多 类型
语义隐含 语义
智慧生活服务 智慧生活
软件服务信息空间 众包软件服务信息空间
学科 法律计量学
属性 属性预测
隐马尔可夫模型参数化合成系统流程 合成系统
三篇文章 文章
分片稀疏 分片稀疏模式
软件开发 软件开发员
教育 国家教育委员会
数据查询 图结构数据查询
模型 言语行为模型
检索性能 视觉检索性能
速度 数据传输速度
协议 Ad-hoc网络协议能耗评估
人工智能 简论人工智能
推理 推理性能
人脸 检测人脸
数据库 数据库维护
应用软件 高性能应用软件
竞价 竞价策略均衡分析
计算 图灵计算
自组织 自组织算法
多物品拍卖机制 多物品
影响 影响商业决策
计算系统 数据密集型大规模计算系统
心网 以数据为中心网络
安全 攻击安全
称号 保护买家
机构组织 软件中心
信息系统奖获得者 称号
算法 布奇自动机算法
开源 协议开源软件
方向 探索性
图数据分析系统 构建图数据分析系统
数据交换接口平台 数据交换
科大 中国科大计算机
聚类 聚类基础
应用机器学习 应用机器学习方法
超导量子计算机能 量子计算机
视窗 微软视窗
神经网络 循环神经网络
软件新技术 软件新技术支撑
语义索引 隐性语义索引
数据 重复数据删除系统
运行环境 虚拟运行环境
计算机语言 计算机语言发展趋势
机器语言目标代码 机器语言
定量 定量比较
信息服务 元信息服务器
不同维度元素 维度元素
方向 民主化
互联网 互联网城镇化
高性能 组织高性能
卡尔 巴卡尔
学术 学术行政化
方向 应用适应性
中国 中国研发投入
应用运行 共同完成应用运行
图像识别 盲文图像识别
大规模图数据 处理大规模图数据
并行编程 编程并行编程模型
信息检索系统 交互信息检索系统
方向 内生可解释性
处理器 多存储资源处理器
方向 数据可靠性
分布式解决问题 多智能体分布式解决问题
信息科学 东北大学信息科学
期刊专刊 专刊
对等网 对等网络资源访问优化机制
几何 几何场景
表示学习 表示学习通常
开放 标准开放
耗能 消耗能量
资源 资源评估模型
概率图模型挖掘 图模型
函数 跨媒体映射函数
异构 多异构
本地数据 本地数据加密
框架 抽象框架
处理 处理复杂任务
时序逻辑 线性时序逻辑
云 云条件
卫星 观测卫星
虚拟 虚拟幻境
信息检索 优化信息检索
服务器 服务器间通信
方向 脉络式
以太网卡 百兆以太网卡
数据库 分布数据库
自动化测试 自动化测试实例
三维重建 三维重建理论与方法
车辆 构建车辆运行时环境
维度 防御维度
机床 精密机床
互联网技术 互联网技术拓展
过滤 过滤机制
计算部件 通用计算部件
计数查询 子图计数查询
互联网 互联网路由
智能化服务 充分体验智能化服务
人才 计算机专业人才
虚拟 虚拟交通场景
时序 时序上下文信息建模
互联 互联大规模
属性 反射属性
知识 知识生成
软件系统 分布式软件系统构造方法
网络拓扑结构图是无线传感器网络 无线传感器网络
规划 学术规划
结构化数据 结构化数据抽取
异构 异构要素
影响 影响市场动态
数据驱动并行计算芯片设计 数据驱动
度量 度量相似查询
量子离物 量子离物传态
感知计算 智能感知计算方法
内存 智能型内存模块
发展趋势 重点发展趋势
计算 实时生成计算卸载
公司 苹果公司
软件需求工程 网络化软件需求工程
大规模集群 大规模集群环境
引导反映计算思维 计算思维
处理器 处理器模型
内存行式结构 内存行式
环境变化 感知环境变化
验证 验证型
表如图 域间路由表如图
定义 应用适应性定义
英国 英国布鲁内
改善 改善空间
线程任务调度算法 任务调度
情景 信息交互情景
互联网 互联网黑色产业链
群智智能制造 群智智能制造分布式协作控制
数据 数据众包平台
诊断 业务诊断
三维几何分析与建模 三维几何
标准之争 标准
描述网络 描述网络化软件
融合多模态数据 融合多
特性 弹性变形特性
称号 系统设计者
图像分割 图像分割技术
视频领域 数字视频领域
美国 美国莱斯
网域 网域计算模型
基础 基础元器件
转化 信息自动转化
移动社交网 图用移动社交网络服务
带宽 高带宽
网络 小型网络
方向 维护数据完整性
结构处理 复杂结构处理
语义的集成 语义
方向 螺旋式
高性能计算 高性能计算机体系结构
视觉对象 搜索视觉对象
科技网站果壳网 果壳网
保护贡献者 称号
时序逻辑公式 应用时序逻辑公式表示系统
流程 设计流程工期
资源 融合资源
学习机 机器学习机制
生产者 称号
数据结构 数据结构工作组
教育 式教育
实时传输 实时传输调度技术
计算思维 范式计算思维
工程师 网络维护工程师
业务逻辑 业务逻辑服务
数据 融合数据处理
传感器网络数据管理 传感器网络数据管理系统
处理 判定处理
数据 抽取数据
声波 算法控制声波
系统网络 大系统网络
蠕虫攻击 未知蠕虫攻击
联盟链 联盟链穿透式监管
物质 物质文化遗产
相互交织 相互交织作用
半导体量子计算 量子计算
并行计算 数据驱动并行计算芯片设计
方向 亚文化
市场 金字塔底层市场
成果持有人 称号
演化 智力演化
人脸 人脸美学理论
生物基因数据源 生物
时间 时间推进机制
教育 计算机教育研究会
连通型聚类算法 型聚类算法
数据操作 数据
资源 车辆资源
课题 课题领域
媒体 媒体信息表示
清华大学 清华大学张长
协助 协助用户
模型 语音模拟模型
电信 电信运营商运营
宇宙线数据预处理 数据
智能计算机编程环境系统软件 编程环境系统软件
高级认知能力 能力
撰写 撰写配置文件
建模 建模环境
数据加密 数据加密标准
域名 域名系统国际化
新成果 基础创新成果
元素 时间元素
椭圆曲线 计算椭圆曲线
云计算处理终端用户 计算处理
耦合 耦合测距
方向 试探性
学科 语音学
成果 业务成果
大学 北京大学语料库
充分 影响充分
构建 构建服务系统
维护 管理维护
安全互联网络 安全互联
数据服务器 数据服务器集群
操作 输出操作
卷积 卷积网络深度匹配模型
教育 软件工程课程实践教学研讨会
动画 体验计算机动画
社交媒体数据分析预测 数据分析
交互式在线 交互式
函数 查询函数
立体 虚拟立体图像
信息学习 信息学习最优策略
调试 调试效率
医院 医院积压
结构 分层参考结构
拟化 虚拟化技术
审计 审计源数据
表 表达模型
移动数据 移动数据挖掘
表 表达知识
异构物理资源 物理资源
路由 云化路由处理
科学研究工作者 称号
条例 按本条例
方向 自然属性
网盘 学术网盘
分布式 分布式配置
高性能 高性能通信
架构 开放式互联架构
行车路线 行车路线推荐
测试 区块链测试
数据存储能力 数据存储能力有限
总体 总体功耗
参数 参数聚合
眼睛 眼睛鼻子
量子电导 电导
安装 安装维护
统一标准化 标准化
数据 数据跨媒体
协同学习 碎片化知识多维度协同学习
政府 政府战略布局
康奈尔大学 康奈尔大学计算机科学
人耳非线性频率分辨率 频率分辨率
方向 透明性
软件实体 软件实体屏蔽
网络应用程序 软件定义网络应用程序
模块 虚拟服务模块
数据挖掘 数据挖掘研究人员
架构设计 架构设计思维
可视化表示 可视化表示理论
中国生物多样性信息系统体系 信息系统体系
网络化软件 网络化软件需求工程
入侵检测 入侵检测新进展
平台架构 开放平台架构
多语言神经机器翻译 神经机器翻译
服务器 几台服务器
资源 IT企业资源
成像 成像仪器
检索实体关系数据 数据
高速缓存 高速缓存性能
协议 模块化安全密码学协议
处理机 对称式多处理机
资源 描述资源
文物知识图谱 文物知识图谱可视化
数据调度 数据
数据 数据实时采集
群体化学习 群体化学习新模式
接口模式抽取 查询接口模式抽取
应用体验优先 体验优先
发展速度 发展速度历经
天线 天线可用信息
量子程序设计员 程序设计员
算法融合 一致性算法融合
城市景观仿真 城市
